itemcode,division,revenue_type,status,jobcode,customer_segment,manufacturing_type,productID,typeOfSale,forecast_date,createDate,PODate,cost,qty
VT-F-99-010205,PEM102-OLD,Omni Channel,Actual,VT240143,Contractor / Private / End user,MTO,P1016,Sale,2024-11-15,2024-10-18,2024-10-18,37068.92,4.0
RS-F-99-070006,PEM102-OLD,Omni Channel,Actual,RS240333,Contractor / Private / End user,MTO,P1089,Sale,2024-11-15,2024-10-18,2024-10-18,46119.0,150.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,CT240273,Contractor / Private / End user,MTO,P1746,Sale,2024-11-15,2024-10-18,2024-10-18,28559.08,4.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT240274,Contractor / Private / End user,MTO,P1748,Sale,2024-11-15,2024-10-18,2024-10-18,28746.36,4.0
CT-F-99-020508,PEM102-OLD,Omni Channel,Actual,CT240275,Contractor / Private / End user,MTO,P1750,Sale,2024-11-15,2024-10-18,2024-10-18,33802.52,4.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Provincial Electricity Authority (PEA),MTS,P2866,Sale,2024-11-05,2024-10-18,2024-10-18,75452.13,9.0
VT-F-99-010722,PEM102-OLD,Omni Channel,Actual,VT240111,การไฟฟ้าส่วนภูมิภาค เขต 1 (ภาคใต้),MTO,P13054,Sale,2024-11-28,2024-10-18,2024-10-18,55884.38,2.0
CT-F-99-020510,PEM102-OLD,Omni Channel,Actual,CT240183,Contractor,MTS,P1751,Sale,2024-11-29,2024-10-18,2024-10-18,25069.14,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-11-29,2024-10-18,2024-10-18,19003.97,1.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240160,Contractor,MTS,P15311,Sale,2024-12-06,2024-10-18,2024-10-18,19003.97,1.0
VT-F-99-010721,PEM107,Omni Channel,Actual,VT240189,Contractor,MTS,P45906,Sale,2025-04-28,2024-10-18,2024-10-18,19003.97,1.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Smart Shop,MTS,P3555,Sale,2024-10-28,2024-10-18,2024-10-18,8383.57,1.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-28,2024-10-21,2024-10-21,33534.28,4.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,"CT240243,CT240182",Contractor,MTS,P1748,Sale,2024-10-28,2024-10-21,2024-10-21,28746.36,4.0
CT-F-99-020528,PEM102-OLD,Omni Channel,Actual,CT240261,Contractor,MTS,P15568,Sale,2024-11-29,2024-10-21,2024-10-21,42939.54,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240157,Contractor,MTS,P15311,Sale,2024-10-31,2024-10-21,2024-10-21,19003.97,1.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-22,2024-10-21,2024-10-21,8383.57,1.0
